"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/12/2024;01/12/2024;"YouTube UGC";Singapore;glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;3;RUB;0.107642456682
01/10/2024;01/10/2024;"YouTube Official Content";Lithuania;glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;1;RUB;0.122161010546
01/11/2024;01/11/2024;"YouTube Official Content";Netherlands;glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;3;RUB;0.410122998388
01/11/2024;01/11/2024;"YouTube UGC";Romania;glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;2;RUB;0.022172404354
01/11/2024;01/11/2024;"Apple Music";Ukraine;glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;4;RUB;0.605156100110
01/11/2024;01/11/2024;"YouTube UGC";Belarus;glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;57;RUB;0.092246537934
01/12/2024;01/11/2024;NetEase;"China Mainland";glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;71;RUB;1.674691422070
01/12/2024;01/12/2024;"YouTube UGC";Romania;glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;2;RUB;0.023526167890
01/11/2024;01/11/2024;"YouTube UGC";Ireland;glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;2;RUB;0.086179847912
01/10/2024;01/10/2024;"YouTube Official Content";Finland;glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;2;RUB;1.884534597245
01/11/2024;01/11/2024;"YouTube UGC";"United Kingdom";glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;85;RUB;3.483361168135
01/11/2024;01/11/2024;"YouTube UGC";Norway;glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;1;RUB;0.066495052053
01/12/2024;01/12/2024;"YouTube UGC";India;glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;3;RUB;0.013003099578
01/11/2024;01/11/2024;"Apple Music";"Russian Federation";glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;6;RUB;0.393479519985
01/12/2024;01/12/2024;"YouTube UGC";Israel;glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;17;RUB;0.190461848526
01/12/2024;01/12/2024;"Apple Music";Mexico;glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;1;RUB;0.079135446650
01/12/2024;01/12/2024;"YouTube UGC";"Hong Kong";glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;1;RUB;0.034208504278
01/12/2024;01/12/2024;"YouTube UGC";Latvia;glookipail;"GlookiPail, Мирби";мультики!;мультики!;3617664680089;DG-A0P-24-49703;;"Music Release";Stream;14;RUB;0.622362712555
